classID;tasa_cruce_cero;entropia_espectograma;avg_centroide_espectral;mfcc_1;mfcc_2;mfcc_3;mfcc_4;mfcc_5;mfcc_6;mfcc_7;mfcc_8;mfcc_9;mfcc_10;mfcc_11;mfcc_12;mfcc_13
1;6798;8.758327;2743.6986970179105;-262.2437;155.33072;-46.259735;35.985474;-33.892612;15.992165;-42.818226;4.777212;-15.286731;-4.602016;-13.720673;0.4610127;-8.768397
1;3668;6.3610854;3069.9599834799496;-271.71762;139.81186;-52.729794;47.42888;-23.744009;12.9513445;-34.438538;7.5756245;-12.1080475;-9.482443;-14.293843;1.9775985;-6.822075
1;12044;9.430284;2705.008711710505;-270.94284;166.02698;-64.44068;53.389214;-33.931614;27.014502;-39.285183;7.8355145;-11.19796;-6.7422614;-18.815653;1.9976757;-3.7595415
1;17624;5.692113;3732.8912998754863;-159.96864;99.32998;-39.20615;32.007065;-15.998096;20.40086;-26.661833;-14.295862;-0.8432951;-5.669369;-15.993025;-4.420067;-3.377969
3;27123;8.468178;2397.006229706986;-329.89523;140.8697;-68.729836;-31.979599;-3.717156;7.350813;-17.00413;-13.103753;0.43161842;-7.2604733;2.597887;7.9727836;11.888679
3;28342;8.243659;2332.261527035693;-346.85834;141.15007;-69.27886;-42.834965;-0.19198692;6.8998523;-16.633045;-16.269127;-1.0877413;-7.516705;-0.766779;8.0412445;10.921582
3;28560;8.06918;2355.3078373245617;-350.52954;135.22217;-59.582035;-45.389935;2.9131563;6.7446184;-18.041994;-16.700367;-2.487401;-6.778627;1.4100735;10.154249;8.943757
3;27660;7.9210377;2264.375303275184;-346.3038;132.96121;-58.681816;-51.202095;5.6977096;5.440441;-21.321478;-17.526857;-4.4789696;-6.7448173;1.9053495;11.424746;12.004544
3;26784;7.144801;2552.467723788403;-365.7009;104.84436;-46.26368;-51.89344;-8.671927;12.446684;6.2788043;-0.87990403;5.9155226;2.4812613;-4.908061;-2.4700644;1.5236183
3;24291;7.7455416;2378.764874427025;-378.5355;128.78014;-33.28277;-53.95497;-23.449705;5.114252;-0.31485933;-9.25801;0.0006657255;2.6338499;5.419504;11.823879;6.44938
3;24759;7.7759547;2472.299862565384;-391.70688;126.131294;-37.688023;-50.142178;-21.399887;7.258891;1.0681672;-8.571847;2.3686814;4.2140265;5.8702126;10.831099;4.324266
3;24753;7.913982;2396.2096187930515;-384.55258;133.3026;-39.471794;-52.961853;-23.352745;9.299608;2.2968938;-9.872052;0.00771679;1.4289178;3.053572;8.675742;3.4061263
0;37364;10.811332;3153.7062313464226;-122.87498;149.72156;-86.23197;50.921585;-12.068409;38.709366;-19.353386;31.17145;-10.59569;10.780253;-7.0470123;3.290371;-4.605931
0;36273;10.712046;3078.180575562212;-119.47326;151.85637;-86.34189;51.051754;-11.257782;39.031647;-18.591208;31.185728;-10.210323;9.897714;-7.2495513;3.431276;-4.338142
0;36341;10.6785145;3186.091061931371;-112.6166;150.03658;-86.75424;55.264225;-13.622617;40.575035;-17.388939;27.155912;-8.17247;8.25855;-5.3163495;2.786022;-1.713436
0;36793;10.728903;3213.5352819729287;-113.685936;149.88762;-86.9075;55.855057;-13.524493;40.189392;-16.882257;26.454878;-8.114449;7.9038363;-4.7252536;1.999787;-1.6436859
0;37417;10.866596;3204.534330379434;-121.225784;153.354;-89.57439;56.92308;-14.735973;39.061214;-16.85079;27.252712;-7.900664;6.7996845;-4.064071;1.4074001;-0.5711934
0;38266;10.933356;3218.1084525415627;-126.662605;156.88315;-93.08744;59.551334;-17.10075;39.85509;-18.636892;28.81451;-8.54438;6.9278107;-4.038152;1.1221212;0.42878985
0;38868;10.939505;3222.630253711212;-124.775246;154.54958;-91.04405;57.938328;-14.769598;38.058384;-17.83577;27.213903;-7.711113;6.626305;-3.3493717;0.31637192;0.61273503
0;38194;10.893159;3198.576427976768;-124.08809;155.50723;-91.3161;58.505856;-14.534852;39.278107;-18.020838;27.90463;-8.271694;7.273348;-3.3984587;0.49355027;-0.048894778
0;37921;10.87414;3207.5970367375776;-125.39195;156.73167;-92.9735;60.286068;-16.25056;41.274036;-18.80073;29.169163;-9.007015;7.381184;-3.5790167;0.8202704;-0.8262205
0;37579;10.83402;3208.187429249664;-122.936066;154.0545;-89.66269;56.825443;-14.601414;38.333984;-16.920391;27.48228;-7.0361767;6.4224567;-2.228302;0.85285854;-0.5913008
0;37740;10.8577385;3195.6833904537507;-122.55693;154.33022;-89.2239;55.41575;-14.775694;37.686832;-17.179806;26.977318;-6.350736;6.9789996;-2.7709079;0.60241127;-0.4488508
0;37805;10.886476;3192.2522811211384;-125.24466;158.08192;-92.336235;58.542828;-17.654272;39.767284;-18.869415;28.759771;-7.067728;8.273861;-3.7290344;0.6453779;-0.49588898
0;36008;10.687341;3061.3631005703683;-120.7607;153.03804;-86.7752;51.741283;-11.975357;39.20386;-18.994972;31.29233;-10.459589;10.314279;-7.529056;2.9384947;-4.6392293
0;37810;10.822042;3239.818706788757;-122.06269;153.02948;-89.42216;57.82277;-15.516745;39.384754;-16.75701;28.176931;-6.1833806;6.9935117;-3.4435802;1.4594893;-1.2281172
0;37586;10.75731;3244.2701575938977;-122.83476;152.47073;-90.0351;59.00198;-14.939759;41.19645;-16.56173;28.00929;-6.806671;6.5803895;-4.0509663;1.3062361;-1.0623702
0;36862;10.717925;3200.969439378621;-124.75643;154.88213;-90.251785;58.84892;-14.870236;41.188316;-16.703676;27.184635;-6.6697197;7.3303394;-4.330541;0.19965729;-0.51271355
0;37050;10.782398;3208.8540344875264;-124.57867;154.52586;-89.647156;58.466972;-15.346796;41.217896;-17.579523;27.005135;-7.144746;8.070479;-5.546805;1.0079063;-1.5671155
0;37370;10.803836;3214.514425711327;-123.82985;154.1301;-89.96508;58.033165;-14.551223;41.01027;-17.311697;26.105972;-6.306698;7.590921;-5.020126;0.50624007;-0.7918235
0;37410;10.764422;3224.0544505838607;-122.84929;153.87407;-90.29572;58.535866;-14.540922;41.509087;-17.635544;26.045092;-6.1255174;7.900395;-4.3619895;-0.2535384;-0.4594296
0;37191;10.748184;3224.14067126583;-122.85095;154.08449;-89.538994;59.470924;-15.378302;41.452168;-18.028345;26.563635;-7.134235;7.4777937;-5.026636;0.25749138;-1.0543857
0;36896;10.705365;3212.233483840461;-124.59357;155.35918;-89.8311;60.80023;-15.981433;42.228554;-17.783794;26.774109;-7.748306;6.667666;-5.462415;0.2893978;-0.65905446
0;36859;10.712752;3224.4521201365587;-122.66306;152.6428;-87.39215;58.086414;-14.2892065;40.392143;-15.508534;24.787132;-6.606466;5.0589604;-4.253707;-0.20913942;0.5749808
0;37221;10.632879;3277.125068611803;-119.23494;149.96439;-85.36754;57.294388;-14.607067;39.91398;-16.048628;25.157589;-7.1294007;5.6975503;-4.762614;1.5151575;-0.120528996
0;35546;10.680952;3056.15686575796;-119.77379;152.27003;-85.670616;51.241417;-11.281742;38.465027;-17.863686;29.549501;-9.510677;9.615922;-6.687712;2.0420103;-4.163743
0;37797;10.492617;3330.855352450664;-114.73245;147.49815;-84.70325;58.645382;-15.246968;41.80237;-17.442045;27.086658;-7.2607613;7.8179774;-5.5036297;3.1858778;-0.9285459
0;35653;10.712303;3063.4319794041103;-118.97228;153.44325;-87.69544;53.3003;-12.4341545;39.38099;-18.139366;28.657099;-9.271043;8.988723;-6.29753;2.412884;-3.550981
0;36253;10.7617235;3077.397226106537;-117.895355;152.96307;-88.219406;53.88688;-12.551336;38.821587;-17.444628;28.142805;-8.301824;8.560511;-5.3786626;1.8226475;-2.984612
0;36859;10.814872;3116.7143923328035;-118.48755;152.59676;-88.889015;54.723736;-13.27466;39.66819;-17.924881;28.229698;-8.964267;8.613212;-5.4646807;1.6330754;-3.1103346
0;38268;10.844163;3201.1403366335744;-114.402245;148.39397;-87.75128;52.150463;-12.338679;39.289097;-16.408247;26.067858;-8.998833;6.8208165;-4.3708878;1.3242453;-3.4781356
0;38127;10.847108;3194.722446618839;-114.65775;149.33913;-87.921974;52.29196;-12.921722;38.748142;-16.438396;25.816326;-8.437002;6.9136353;-4.0544906;1.0046947;-2.889878
0;36793;10.789369;3142.6768813403;-117.94777;153.32977;-89.347466;55.905457;-14.833807;40.454224;-18.3615;27.921232;-8.609494;8.528237;-5.7280536;1.9064649;-2.1061604
3;50389;10.260068;4097.044098912756;-255.10172;111.6719;-105.674736;34.92129;-50.005424;25.38724;-33.837074;5.9837394;-3.0292268;-2.8791323;7.725083;-12.75503;13.928636
3;42456;10.2378;3643.72381278674;-139.30809;120.51818;-110.38761;30.554201;-56.230854;18.819645;-37.172813;1.1344776;-7.9104104;-6.6414976;5.007254;-9.7566395;17.02378
3;43151;10.012271;3629.2196216049815;-213.35358;125.56807;-108.63639;29.957447;-41.280697;19.576538;-32.24701;0.95258486;-2.9293149;-4.8834085;6.908829;-11.681519;13.788867
2;31290;8.027359;3475.9857460971352;-389.47473;118.53811;-80.25956;-24.692081;-21.721172;-14.705426;-29.055492;-18.94303;-23.880003;-24.35765;-13.423756;-17.466534;-8.928554
2;29932;7.2633033;3236.026444088536;-368.6451;114.84192;-86.55155;-19.514977;-18.478178;-24.453161;-26.750252;-16.113316;-22.48847;-24.962412;-16.66017;-22.050043;-11.717001
2;26120;7.3686996;3121.415778772202;-346.6626;124.004974;-70.0087;-30.779339;-24.265158;-16.640144;-25.553026;-14.227524;-14.816684;-19.699835;-7.862158;-22.075583;-14.353459
2;28442;7.580074;3152.2799747337167;-309.86963;106.47591;-71.69534;-32.039944;-17.788704;-18.67671;-23.731295;-11.42679;-13.882122;-19.52761;-7.4892683;-19.65872;-7.9712954
2;31556;7.4295464;3429.7629749645967;-340.98248;110.22657;-70.93419;-25.88409;-20.179838;-17.385094;-18.885572;-5.2292676;-20.562714;-18.875216;-1.4917217;-19.830885;-11.934716
2;31986;7.862108;3466.6418434805146;-382.78525;124.93282;-74.45273;-16.973768;-17.737333;-12.973147;-24.528938;-7.6438737;-18.833519;-25.336905;-5.464571;-14.817123;-14.031544
2;28939;7.3746686;3685.924014834251;-392.95596;117.638954;-64.63606;-18.391994;-30.537718;-12.030572;-21.502672;-16.897675;-16.42779;-16.94861;-15.279703;-14.555256;-9.655832
2;29702;9.086642;3953.2272053084766;-429.49152;120.49991;-53.83885;-21.08407;-20.68502;-13.729456;-22.31204;-20.390924;-15.953187;-16.542261;-16.080317;-14.356043;-10.8989725
3;4778;5.8214135;2397.173641340015;-422.9743;84.81762;28.96419;4.2908993;-12.734875;-0.6304573;2.1967714;-6.977837;-9.476781;-5.117352;-6.2132044;-5.620963;1.9223211
3;4272;6.014874;1733.7108206240964;-398.0555;115.29089;44.483643;7.0501075;-22.044054;-4.341023;1.0226239;-13.965656;-18.509304;-14.003157;-14.930973;-9.412491;2.7800164
3;5847;5.6000223;2898.1041716414857;-434.61487;65.10177;16.813124;5.240358;-2.5553312;4.792856;2.7874372;-3.7366936;-3.9302385;-1.0904161;-1.0558091;-0.8591617;4.27422
0;81498;8.1825285;7107.116017785258;-199.83543;31.522947;-13.591719;52.97599;-5.9289355;12.6174135;-1.0129396;17.512514;-2.5321007;12.164961;10.2868805;-0.17224532;4.367582
0;61908;8.046109;6766.779934052796;-247.64429;44.80819;7.050864;47.893917;-0.28494018;5.6264234;4.6586714;16.413076;-5.257832;12.861279;14.71386;-4.148569;4.179248
0;72514;8.057002;7031.093941882715;-224.16603;35.446064;-2.0765796;52.126926;-4.1796675;9.443662;1.7338848;15.887685;-4.2074065;12.273123;12.038664;-2.1241086;4.076836
0;78580;8.040514;7114.452036412388;-208.22363;31.36033;-9.919854;54.686985;-5.294396;11.914116;0.37874636;15.171255;-2.600771;11.851734;9.709788;0.36955863;4.1925664
0;67014;7.9214993;6823.4865140308975;-230.88148;41.146847;-3.1299825;51.067043;-1.4087914;8.943047;3.564114;14.54862;-1.7473727;11.92343;11.564974;0.053219613;3.4657743
0;51482;7.8619766;6467.739653325132;-265.91705;56.323345;13.267651;41.48816;3.6796205;2.7760797;7.668145;14.387867;-4.217069;14.244512;14.954881;-3.0176098;2.469194
0;48748;7.8389473;6478.552735540466;-268.69968;57.154846;13.884374;39.573414;4.4558277;4.0438714;7.307542;13.205632;-3.6015954;14.208486;14.423965;-2.0969086;2.3227575
0;49592;7.8235893;6487.820801926157;-271.12888;57.53957;14.818421;38.009937;4.2869534;3.2937543;7.8558993;13.914055;-5.7837305;14.001907;15.950906;-2.164967;2.681935
0;50656;7.8197083;6462.89875404375;-272.26907;58.486683;14.808074;37.53171;5.1520867;2.4255283;8.18651;14.70748;-6.680176;13.780109;16.783453;-3.238994;1.7890519
0;49082;7.7419515;6451.85842551384;-275.85974;61.05513;16.503485;35.423588;5.331118;2.1265283;7.082854;14.347352;-5.3950925;13.449191;15.200285;-3.3367276;1.8704118
0;48102;7.671833;6469.994664643221;-276.52133;60.684647;16.342506;35.828114;5.5515437;1.9487133;7.0191627;14.505386;-5.0042906;13.460596;15.0784025;-3.1060278;1.2487187
0;50936;7.7893867;6547.082799879218;-271.3775;55.74084;14.700998;38.758324;4.1825047;1.7453109;7.341893;16.03539;-5.699197;14.122052;15.620385;-4.1126237;1.1202826
0;53198;7.8496594;6560.729939334363;-268.8642;53.814247;14.501047;40.411095;3.1281881;1.9109267;7.6122084;16.074858;-6.5268626;14.250913;15.998247;-4.267065;1.6561204
0;52956;7.882761;6550.966543049599;-267.99384;55.835533;14.51093;40.10593;3.7397819;1.0964853;6.419439;15.320364;-6.0687385;14.514414;16.469736;-4.184884;1.962116
0;51728;7.727009;6535.345904048458;-267.41556;55.294796;11.2986355;41.70927;5.0457025;4.289513;6.40401;14.11778;-3.6996574;13.083452;15.485444;-2.4317288;1.7530501
0;53894;7.8052473;6654.720415770651;-261.2088;50.39406;10.115382;44.746983;2.3782413;5.4777613;5.9547286;13.660019;-3.5102143;13.184782;15.266703;-1.9960152;2.2993858
0;76394;8.073182;7077.875748613771;-209.95985;31.42334;-8.352539;54.592426;-4.8771596;12.983206;1.1328238;15.609443;-2.8998518;12.836508;11.081623;0.18684046;4.951525
0;59438;8.022086;6804.768735261921;-251.73312;44.09942;8.122682;48.434414;0.28883338;5.6246405;5.6134496;14.704876;-5.034804;13.066339;14.6957;-2.4062877;2.4736762
0;59370;8.027184;6796.415778289517;-253.35019;44.233192;7.6123824;47.51904;1.403557;5.3875856;5.010739;14.836599;-4.7176223;13.337378;15.14823;-2.1430774;2.0358183
0;56944;7.8959227;6671.367886741398;-254.90744;48.77556;8.126085;46.185566;1.1434197;6.573011;5.6149187;13.921978;-3.0640619;12.242086;15.029419;-0.9137724;2.1724112
0;54884;7.9357514;6713.516712144124;-254.39052;48.892143;9.010344;45.74183;0.7882114;7.757769;4.903729;13.70011;-1.965458;11.931925;14.230584;-0.2513489;2.0595763
0;56690;7.96219;6767.136402769614;-251.90625;46.609997;7.6989527;47.113068;-0.19314975;6.4889226;3.8602743;13.994992;-3.0022402;12.343675;14.745364;-1.1472019;2.3399024
0;59522;7.9829364;6855.376917662948;-248.04987;43.166176;5.633697;48.91392;-1.4521588;6.640016;4.1007185;14.780527;-3.4169302;11.742569;13.947834;-1.5678664;2.3218956
0;75370;7.973148;7045.26932788375;-214.4583;33.85171;-7.940259;53.25128;-5.240061;11.439405;1.3809505;14.6489;-2.7051847;12.30152;11.138435;0.4491668;4.434314
0;60200;7.953856;6894.429773536268;-247.46297;42.1325;4.715523;49.653404;-1.7953842;7.4018784;4.343412;14.484128;-2.8999617;10.995114;13.0881195;-1.0629029;2.7999358
0;63044;7.99996;6846.304621319368;-239.12495;42.925316;4.4568014;49.851635;-2.8262856;7.6335006;3.8371696;15.862785;-3.6493285;12.512298;13.999336;-2.362222;3.9747133
0;59140;7.964439;6668.3725018759815;-247.03348;47.27565;4.4542356;46.84309;1.8818862;4.599612;3.1286206;15.137427;-4.297083;12.400993;13.724028;-1.4377599;4.4560013
9;13135;9.116937;2032.7071291859515;-269.49118;172.94499;0.078418165;15.525916;-4.1097474;25.261068;-5.1065364;4.9379497;-6.1385217;11.922579;6.0634227;-3.753774;-0.5543179
9;12613;9.106604;2024.9484667985305;-272.15372;174.03372;-0.27759182;15.326946;-4.505092;25.072016;-3.6320324;4.6527705;-4.1023707;12.759128;4.513048;-2.809496;-1.5786893
9;14747;9.163356;2174.9840722942254;-268.0606;166.39278;0.16307713;17.380566;-5.4112597;23.130854;-1.0331826;3.9429655;-3.451479;13.655916;1.6257704;-6.2150145;-3.221806
9;13788;9.076406;2076.2322907972966;-273.2527;172.01988;3.0934234;15.570087;-4.0708933;23.28015;-0.8562701;7.1296515;-5.451827;10.403386;-1.8885092;-6.3607087;-2.327955
9;13861;9.248982;2105.122734612343;-287.26044;177.7182;1.8595417;18.106937;-6.302723;23.18909;-3.0039806;5.5848503;-11.838245;9.486823;2.345724;-2.7716575;-0.17131782
9;15960;9.285957;2244.181099869597;-279.4785;170.54999;0.6234982;19.396713;-5.702834;23.740856;-3.5543506;3.7268124;-11.091468;12.279222;1.9845457;0.29403678;1.6009375
3;20983;8.569411;2747.073438226949;-349.15482;153.90929;-53.5069;12.267316;-27.222717;16.69677;-31.953657;20.090393;-14.267657;2.8884957;2.4976156;3.281079;2.6646464
3;3419;6.2102804;3132.6196378067884;-318.31577;137.99922;-59.13444;13.919234;-30.66639;22.62942;-30.802742;21.422335;-20.39534;4.5606704;4.1501384;8.031325;6.2834544
3;3446;7.586356;3387.8070346413547;-346.58185;141.28285;-63.661427;25.722618;-20.568419;26.35053;-35.760483;21.000414;-15.0690775;2.6048217;-3.8325298;6.0458694;1.5691268
3;5936;6.403968;2981.2861383441737;-312.66177;138.7698;-51.414146;6.029824;-18.959229;12.028897;-22.213137;14.146126;-17.623463;11.151485;0.6890818;2.8306978;4.8529787
3;26557;7.9578824;2994.71671874929;-299.0302;131.81906;-50.371338;-0.7531535;-18.994902;9.542161;-21.86759;11.940933;-14.088826;2.8029785;4.7895117;1.1649572;3.9474602
3;11563;7.439888;3024.6754123202886;-313.1698;143.44803;-44.68383;0.96636575;-29.765625;16.56672;-25.774258;17.220922;-11.314534;7.6648097;6.1749787;1.880191;7.2718163
6;6286;6.125334;2105.6230057210632;-429.27313;145.64424;22.035717;34.74038;-3.5450325;2.9080777;-4.8970904;0.38642862;1.5043468;3.6883838;3.4961464;2.5689704;-0.57154566
3;8627;6.1985283;4046.035952115091;-504.5897;57.89442;17.3683;6.9785767;-2.5268643;0.04075639;3.165905;-3.0044618;-4.4640985;-0.31956887;-2.0318797;-4.7950854;-0.17006156
3;11010;5.506385;4484.407594409918;-497.86285;42.433403;11.185202;1.099124;-4.615837;-0.89302915;0.056354646;-2.514548;-2.2954974;0.03654955;-0.76866394;-2.8397768;-0.3727585
3;8872;6.5571165;3271.0922958352094;-469.32562;90.935524;19.334242;5.007101;-11.046822;-2.789575;-1.0317948;-6.8144274;-7.7744427;-3.7199697;-4.4609694;-8.343661;-1.9426879
3;21254;6.866766;4366.898686981992;-419.73343;102.87503;33.745495;37.74031;12.70628;14.524516;5.2668524;4.5780063;0.03795604;-1.2018167;-3.9154212;-3.7422447;-5.152727
3;22156;9.037318;4366.051669297445;-404.5509;111.35552;24.866486;27.024214;5.655854;10.402467;3.1370797;2.113718;-4.461924;-4.8865557;-3.6204278;0.17289433;0.07451539
3;32716;8.291564;5212.012241159138;-420.22247;93.3846;16.679752;26.039555;6.877137;11.948073;3.9542658;3.8865564;0.38346326;0.5696806;-0.031184277;1.816416;1.259511
3;35156;8.004291;5396.894402760093;-423.9778;89.3279;14.72559;25.422728;6.7959104;11.734108;4.785041;5.2042675;1.8775123;1.710711;0.10673342;2.0858777;1.816586
8;19468;9.5097275;2406.986443549491;-262.90384;166.66423;-28.382093;-11.16204;-18.499382;-10.144157;-0.63697004;11.78691;18.208708;6.9008207;-5.014502;-8.582324;-1.9070596
8;19915;9.320745;2487.602539315709;-260.16766;164.36737;-31.758446;-13.861603;-19.96968;-6.3476405;2.2467697;12.197634;15.093705;4.5264297;-6.644373;-8.805619;-0.9883909
8;20227;9.382291;2633.879919152902;-264.09906;161.6008;-25.797337;-11.364345;-22.740341;-3.732603;4.9624166;11.108278;14.230899;5.4274707;-5.734658;-7.89033;-1.0321367
8;23052;10.020594;3057.249700322731;-267.48566;150.54701;-22.964144;-6.502775;-24.746815;1.9413536;8.356491;13.08914;13.771848;3.2015674;-6.934512;-6.8860126;2.4021342
8;32277;10.355906;4013.817970728788;-251.61572;134.04932;-17.297821;-1.5747268;-27.532246;8.035278;4.5939903;14.6017885;13.498666;2.505583;-2.1165173;-8.916024;4.1750426
8;31579;10.547881;3884.660583340687;-242.15625;138.07806;-18.831406;0.945125;-26.228716;5.433811;-0.4602514;10.681818;11.179569;3.3915567;1.7973597;-7.361815;1.9448628
8;22750;10.296181;2983.712009766998;-243.5813;154.13863;-27.468824;6.625191;-19.58898;3.1465786;3.9079576;6.878156;5.8216267;2.0962617;2.7661476;-1.5742944;3.769004
8;20318;10.258461;2555.0101641748456;-257.07385;168.79672;-23.527302;-2.7329125;-23.518097;-7.749441;8.132111;1.8503429;4.8731637;9.48819;5.0591726;-7.6317816;-11.60661
5;6566;8.143675;1988.046775826132;-217.73106;164.40321;-40.076748;32.99487;-18.010551;28.909307;3.266073;14.206451;17.117697;17.111298;12.208537;1.2078263;5.396145
5;6829;8.143897;1989.2748812866064;-218.52853;163.9142;-39.459637;33.438354;-17.769876;29.296862;4.108502;13.738811;16.65487;17.266848;12.259652;1.7474436;5.961309
5;5904;8.050017;2016.050057731757;-216.47443;160.73782;-39.803814;33.702133;-18.404207;28.205389;4.4246182;14.364425;18.550318;17.51665;12.368209;2.0196483;6.5546565
5;5528;8.030585;1971.083780668786;-215.88423;162.70412;-38.080173;34.686275;-18.04634;28.126867;3.852115;13.095614;17.985872;16.646408;12.319933;2.0824287;6.4859476
5;5814;8.056841;1997.7034356314257;-216.44366;162.42332;-38.5543;34.69041;-17.920734;28.702768;3.1265554;13.053942;17.26284;16.698;12.798062;2.5370665;6.306848
5;5886;8.051132;2003.3818587959915;-218.09456;162.07953;-39.150814;34.33191;-17.957716;28.943405;3.2825685;12.975041;17.68379;16.607428;12.956646;1.8688582;6.1950784
5;6094;8.07246;1989.6617718747773;-219.18967;163.65579;-38.17826;34.84474;-18.286245;28.80653;2.8555956;12.837891;17.367207;16.00837;11.997159;1.240482;6.2952843
5;6036;8.063064;1994.1262622231293;-219.50299;163.1108;-38.79781;34.361256;-18.351248;28.234762;2.7657993;13.56076;17.389135;16.476612;12.275143;1.9883573;6.826995
5;5930;8.033782;2003.701995170494;-219.32443;162.04347;-39.61575;33.96156;-18.451273;27.360298;3.2420404;14.126398;17.48977;17.038286;12.535872;2.3585904;7.1322947
5;5824;8.021147;2016.5745315013207;-218.30072;161.50276;-40.157528;34.016342;-19.478912;27.950832;3.180754;14.411674;17.31402;17.62578;11.965651;2.244852;7.146986
5;5776;8.048997;2022.4592957068976;-216.32115;162.04271;-39.155384;34.38643;-19.301476;28.444378;2.8519273;13.887304;16.88726;17.38566;11.544299;1.6157902;6.0792713
5;5793;8.068327;1998.248859183043;-216.35484;163.26138;-38.29311;34.518803;-18.78375;28.294119;2.78179;13.965958;16.952131;17.054945;11.44023;1.1852264;5.491202
5;7089;8.160854;2017.5272094502527;-217.66412;163.04323;-40.485394;33.237232;-18.593534;29.197948;5.0237007;14.554413;15.631988;17.794975;12.236096;2.4462883;5.2698383
5;5770;8.061268;2019.9103794914768;-215.83734;161.71387;-38.501324;33.307217;-19.122513;27.843996;3.5740545;14.094998;17.90254;17.280874;11.271163;1.799721;5.9620285
5;5849;8.055356;2026.7164399445023;-216.39062;161.65685;-39.395546;33.63397;-19.783705;27.990631;3.6196108;14.688789;18.081907;17.935476;11.405604;2.2037234;5.4001665
5;5880;8.0531;2026.6792070110423;-216.57903;161.22029;-39.14491;33.377506;-19.205849;27.799555;3.4436393;14.995269;17.980085;17.957003;12.184845;2.6172724;5.542362
5;5959;8.075242;2018.616135509469;-215.3697;162.32321;-37.5251;34.472584;-19.054825;27.713535;2.6568952;14.484129;16.870052;16.999426;11.739711;2.2035937;5.415789
5;5946;8.064965;2026.4494235729464;-215.08319;162.22685;-36.833298;34.929516;-19.388536;27.71619;2.4041185;14.608629;16.745932;16.910427;11.49247;1.6278182;5.330085
5;5809;8.032384;2056.149536967109;-216.55313;160.26653;-38.90109;33.938362;-20.144966;27.768251;2.702487;15.112384;17.867926;17.68839;11.605363;2.4200463;6.5246205
5;5628;7.988382;2059.2519708908644;-214.61531;158.35478;-38.063522;32.82227;-18.56996;27.184587;3.7955813;14.365863;18.966928;16.987408;11.634289;2.1368797;6.815222
5;5082;7.9109435;1993.9944204318624;-213.07283;159.15671;-38.138096;32.85452;-17.226707;27.855024;4.894515;15.515786;18.248724;16.562262;11.43824;2.667554;6.687081
5;5048;7.93924;1947.723555462972;-213.82547;161.04022;-39.052162;32.13679;-16.913849;28.317986;5.299656;15.202886;17.691284;15.31223;11.500501;3.0405946;7.6800985
5;5210;7.975775;1954.744556261316;-216.10461;162.3094;-39.891026;32.2661;-17.704288;29.123098;4.709692;14.642203;17.488146;15.098319;11.43551;3.5654852;7.7602
5;6687;8.130087;2035.9704957344384;-216.65668;161.56587;-40.887924;32.86293;-18.163528;28.567007;5.387651;14.265017;15.922077;17.617735;12.490316;2.54496;5.186497
5;4880;7.906286;1927.5472272887573;-215.62405;161.37344;-39.61314;31.538174;-16.969532;28.314594;5.3769984;14.41286;17.303621;15.114371;11.733691;3.869976;8.025289
5;6340;8.102862;2023.998340932232;-216.97922;162.09242;-41.0603;33.35941;-17.753141;28.828934;4.4789643;13.766344;15.941191;17.025661;12.02827;2.532395;5.4663377
